Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Run,Species,Sample.Type,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Step,Notes,QC
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:05,18:13,Light,,10,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:05,18:13,Light,,10,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:05,18:13,Light,,10,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:05,18:13,Light,,10,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:05,18:13,Light,,10,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,18:15,18:26,Light,,11,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:15,18:26,Light,,11,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:15,18:26,Light,,11,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:15,18:26,Light,,11,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:15,18:26,Light,,11,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:15,18:26,Light,,11,,
20191024,1-POR-1,1-POR-1,7,7,PI,Apulchra,Coral,0.6,,18:24,18:31,Light,,12,,
20191024,1-ACR-1,1-ACR-1,8,8,PI,Apulchra,Coral,0.616,,18:24,18:31,Light,,12,,
20191024,1-POC-1,1-POC-1,9,9,PI,Apulchra,Coral,0.604,,18:24,18:31,Light,,12,,
20191024,1-POC-2,1-POC-2,10,10,PI,Apulchra,Coral,0.61,,18:24,18:31,Light,,12,,
20191024,1.POR-2,1.POR-2,1,11,PI,Apulchra,Coral,0.595,,18:24,18:31,Light,,12,,
20191024,1.ACR-2,1.ACR-2,2,12,PI,Apulchra,Coral,0.61,,18:24,18:31,Light,,12,,
