"","Sample.ID","diameter.cm","length.cm","mass.g","waxedmass.g","Sample.Type","Homog.Vol.ml","delta.mass.g","SA.cm2"
"18","1-POC-1",NA,NA,20.647,21.867,"E5",34,1.22,53.7274933800834
"19","1-ACR-1",NA,NA,3.664,4.185,"E5",16,0.520999999999999,23.6535780865487
"20","2-ACR-3",NA,NA,5.103,5.933,"E5",22.5,0.83,36.9480556626606
"21","2-POR-1",NA,NA,24.428,25.088,"E5",50,0.66,29.6339417858353
"22","2-POC-3",NA,NA,44.498,47.052,"E5",37.5,2.554,111.121775213524
"23","2-POR-3",NA,NA,68.202,69.536,"E5",150,1.334,58.6322520974839
"24","2-POR-2",NA,NA,47.039,48.06,"E5",98.5,1.021,45.1656777242702
"25","2-POC-2",NA,NA,15.236,16.198,"E5",27.5,0.962,42.627249967019
"26","2-POC-1",NA,NA,13.875,14.696,"E5",20,0.821,36.5608378691816
"27","1-POC-3",NA,NA,32.041,34.071,"E5",42.5,2.03,88.5770947931921
"28","1-POC-2",NA,NA,16.284,17.268,"E5",32.5,0.984000000000002,43.5737823510788
"29","1-ACR-3",NA,NA,11.726,12.553,"E5",14.5,0.827,36.8189830648342
"30","2-ACR-2",NA,NA,8.688,9.675,"E5",17.5,0.987,43.7028549489051
"31","2-ACR-1",NA,NA,9.163,9.801,"E5",8,0.638,28.6874094017755
"32","1-POR-1",NA,NA,22.487,22.987,"E5",40,0.5,22.7500699017644
"33","1-ACR-2",NA,NA,4.791,5.292,"E5",13,0.500999999999999,22.7930941010398
"34","1-POR-3",NA,NA,67.05,68.437,"E5",100,1.387,60.9125346590823
"35","1-POR-2",NA,NA,34.915,35.623,"E5",42.5,0.707999999999998,31.6991033510564
