Spawn.Date,Coral.ID,Condition,Well.Num,Num.Eggs,Initials,Notes
20191021,14C5,Nursery,1,5,,
20191021,14C5,Nursery,2,7,,
20191021,14C5,Nursery,3,7,,
20191021,14C5,Nursery,4,3,,
20191021,14C5,Nursery,5,6,,
20191021,14C5,Nursery,6,8,,
20191021,14C5,Nursery,7,6,,
20191021,14C5,Nursery,8,5,,
20191021,14C5,Nursery,9,5,,
20191021,14C5,Nursery,10,5,,
20191021,14C5,Nursery,11,4,,
20191021,14C5,Nursery,12,9,,
20191021,14C5,Nursery,13,6,,
20191021,14C5,Nursery,14,10,,
20191021,14C5,Nursery,15,7,,
20191021,14C5,Nursery,16,10,,
20191021,14C5,Nursery,17,8,,
20191021,14C5,Nursery,18,9,,
20191021,14C5,Nursery,19,9,,
20191021,14C5,Nursery,20,9,,
20191021,14C5,Nursery,21,9,,
20191021,14C5,Nursery,22,9,,
20191021,14C5,Nursery,23,4,,
20191021,14C5,Nursery,24,7,,
20191021,7C1,Nursery,1,4,,
20191021,7C1,Nursery,2,6,,
20191021,7C1,Nursery,3,4,,
20191021,7C1,Nursery,4,3,,
20191021,7C1,Nursery,5,5,,
20191021,7C1,Nursery,6,3,,
20191021,7C1,Nursery,7,6,,
20191021,7C1,Nursery,8,4,,
20191021,7C1,Nursery,9,3,,
20191021,7C1,Nursery,10,5,,
20191021,7C1,Nursery,11,5,,
20191021,7C1,Nursery,12,6,,
20191021,7C1,Nursery,13,4,,
20191021,7C1,Nursery,14,5,,
20191021,7C1,Nursery,15,5,,
20191021,7C1,Nursery,16,3,,
20191021,7C1,Nursery,17,5,,
20191021,7C1,Nursery,18,5,,
20191021,7C1,Nursery,19,5,,
20191021,7C1,Nursery,20,4,,
20191021,7C1,Nursery,21,4,,
20191021,7C1,Nursery,22,6,,
20191021,7C1,Nursery,23,5,,
20191021,7C1,Nursery,24,6,,
20191021,7,Nursery,1,3,,
20191021,7,Nursery,2,3,,
20191021,7,Nursery,3,5,,
20191021,7,Nursery,4,9,,
20191021,7,Nursery,5,3,,
20191021,7,Nursery,6,5,,
20191021,7,Nursery,7,6,,
20191021,7,Nursery,8,6,,
20191021,7,Nursery,9,7,,
20191021,7,Nursery,10,4,,
20191021,7,Nursery,11,5,,
20191021,7,Nursery,12,6,,
20191021,7,Nursery,13,5,,
20191021,7,Nursery,14,4,,
20191021,7,Nursery,15,5,,
20191021,7,Nursery,16,5,,
20191021,7,Nursery,17,5,,
20191021,7,Nursery,18,5,,
20191021,7,Nursery,19,4,,
20191021,7,Nursery,20,4,,
20191021,7,Nursery,21,5,,
20191021,7,Nursery,22,5,,
20191021,7,Nursery,23,5,,
20191021,7,Nursery,24,7,,
20191021,8C6,Nursery,1,5,,
20191021,8C6,Nursery,2,5,,
20191021,8C6,Nursery,3,5,,
