"","Fragment.ID","Intercept","µmol.L.sec","Temp"
"1","1-ACR-3_1",191.765748947368,-0.00967350877192992,28.026
"2","1-ACR-3_2",186.554337582418,-0.0094694505494503,27.8552962962963
"3","1-ACR-3_3",182.562015973923,-0.00620228012320278,27.6329642857143
"4","1-ACR-3_4",175.721363509307,-0.00466914427291794,27.4223023255814
"5","1-ACR-3_5",170.761032649151,-0.00257534209085907,27.3185714285714
"6","1-ACR-3_6",169.062520884929,-0.00015453035336756,27.2878723404255
"7","1-ACR-3_7",170.714728454791,0.00452451417004045,27.259625
"8","1-ACR-3_8",174.417249879032,0.00848560483870975,27.3084464285714
"9","1-ACR-3_9",181.375729253539,0.0118061389961391,27.408847826087
"10","1-ACR-3_10",189.785833809524,0.0132042857142859,27.5295
"11","1-ACR-3_11",197.752750649351,0.0148337662337658,27.6039666666667
"12","1-ACR-3_12",207.647312706767,0.0171820300751877,27.66575
"x1187","1-POC-3_1",194.475026,-0.0114759999999998,28.1189736842105
"x193","1-POC-3_2",188.178696078431,-0.0081078431372545,27.9127407407407
"x11197","1-POC-3_3",184.973352917547,-0.00424784355179689,27.6761071428571
"x11099","1-POC-3_4",181.207924030338,4.98559907834588e-05,27.4464827586207
"x1627","1-POC-3_5",182.040568477818,0.00626526251526255,27.3323673469388
"x130","1-POC-3_6",187.208031031895,0.0107799437148218,27.3058936170213
"x170","1-POC-3_7",201.925497787456,0.0203180662020907,27.3028125
"x1288","1-POC-3_8",217.614585169082,0.0266331884057971,27.3595
"x1171","1-POC-3_9",239.508927672065,0.0304348785425101,27.4770869565217
"x1284","1-POC-3_10",262.357136984755,0.0276868435911912,27.6143142857143
"x121","1-POC-3_11",279.423942145594,0.0281637657361795,27.7262666666667
"x1224","1-POC-3_12",297.257814376812,0.0275850434782609,27.8304545454545
"x1139","2-ACR-2_1",190.548769719251,-0.0106600935828877,28.415027027027
"x1145","2-ACR-2_2",183.911635672515,-0.00982280701754436,28.1370740740741
"x1634","2-ACR-2_3",179.548059844476,-0.00882384637268834,27.8401666666667
"x1693","2-ACR-2_4",169.876451541353,-0.00853800751879692,27.5543333333333
"x1439","2-ACR-2_5",160.78114512605,-0.00499470588235292,27.4008979591837
"x1210","2-ACR-2_6",157.446254615385,-0.00255733583489689,27.350914893617
"x176","2-ACR-2_7",157.284526607308,0.0041912465309899,27.309
"32","2-ACR-2_8",160.907576141627,0.00953557859313921,27.3348035714286
"x1201","2-ACR-2_9",168.846679395161,0.0133609274193548,27.4202553191489
"x1101","2-ACR-2_10",178.846307307061,0.0151089490968804,27.5286285714286
"35","2-ACR-2_11",188.236275,0.0179700980392159,27.6247
"x1283","2-ACR-2_12",198.313851715686,0.0194350490196079,27.7246666666667
"x178","2-ACR-3_1",188.052696072446,-0.00696978021978035,27.9202162162162
"x192","2-ACR-3_2",184.102936470588,-0.00442617647058768,27.7395925925926
"x148","2-ACR-3_3",182.12899607487,-0.00387621960129407,27.5330705882353
"x155","2-ACR-3_4",177.77059192583,-0.0024379087992102,27.3307303370787
"x1153","2-ACR-3_5",175.299820055504,0.000268196114708634,27.2244081632653
"x136","2-ACR-3_6",175.696905834104,0.00265845821769961,27.2019166666667
"x165","2-ACR-3_7",179.736975910364,0.00634677871148461,27.1850612244898
"x1300","2-ACR-3_8",184.494738084465,0.00882828054298644,27.2459298245614
"x1500","2-ACR-3_9",191.511936425658,0.0103935706340375,27.3640625
"x1173","2-ACR-3_10",198.977812987013,0.0107974025974029,27.4963611111111
"x158","2-ACR-3_11",205.60790247678,0.011408152734778,27.5964666666667
"x1144","2-ACR-3_12",212.055182769231,0.0103403076923075,27.6523939393939
"x117","2-POC-3_1",189.137763076923,-0.0179907692307694,28.1558378378378
"x13","2-POC-3_2",178.190827222222,-0.0164050000000001,27.9478888888889
"x1375","2-POC-3_3",170.599785684067,-0.0155044269849664,27.72125
"x1585","2-POC-3_4",154.207295844156,-0.0123120057720058,27.4942247191011
"x1150","2-POC-3_5",141.333580036243,-0.00626381757777109,27.3849795918367
"x1569","2-POC-3_6",137.311400363367,-0.00178026696329267,27.3586458333333
"x1437","2-POC-3_7",138.372106183155,0.00574274732620315,27.3555510204082
"x184","2-POC-3_8",143.042287932773,0.0104377815126051,27.421649122807
"x1238","2-POC-3_9",151.568487647059,0.0123087114845939,27.5567021276596
"x140","2-POC-3_10",160.713832105263,0.0132205263157898,27.7001388888889
"x1294","2-POC-3_11",169.568407142857,0.0117357142857158,27.8221
"x1115","2-POC-3_12",176.621010451128,0.0149098496240602,27.9259696969697
"x1386","BLANK2_1",159.36354,-0.00024150375939849,27.8478648648649
"x195","BLANK2_2",159.291033684211,-0.000181052631579286,27.6705185185185
"x11101","BLANK2_3",159.262771507867,-0.000108833041958034,27.4649036144578
"x1698","BLANK2_4",159.061781137255,-9.0488687782817e-05,27.2569431818182
"x1112","BLANK2_5",158.727665116279,-0.000147447900936378,27.1654081632653
"66","BLANK2_6",158.417290485725,-0.000288186874304597,27.1425319148936
"x1323","BLANK2_7",158.101617665505,-0.000598153310104566,27.1021428571429
"x1298","BLANK2_8",157.582344428571,-0.000403612244897869,27.1423859649123
"x1661","BLANK2_9",157.047840519481,-0.000450909090909247,27.2250638297872
"x1126","BLANK2_10",156.528135878489,-0.0005143678160916,27.3108571428571
"x1127","BLANK2_11",156.147716898551,-0.000527913043478459,27.3658333333333
"72","BLANK2_12",156.065483594203,-0.000820260869565247,27.3892121212121
