"","Fragment.ID","Intercept","µmol.L.sec","Temp"
"1","1-ACR-1_1",184.561701793222,-0.00617163449163438,27.75866
"2","1-ACR-1_2",179.305404493927,-0.00687655870445332,27.6894150943396
"3","1-ACR-1_3",174.820222833021,-0.00606148217636036,27.6385892857143
"4","1-ACR-1_4",170.188595763547,-0.00485290640394089,27.632862745098
"5","1-ACR-1_5",167.109465599218,-0.00422678028658278,27.6459242424242
"6","1-ACR-1_6",162.563482929667,-0.00149043892120564,27.6543947368421
"7","1-ACR-1_7",161.60662907563,0.00267008403361341,27.672725
"8","1-ACR-1_8",163.534237,0.00601300000000005,27.6912333333333
"9","1-ACR-1_9",166.954198421053,0.00829631578947381,27.7080344827586
"10","1-ACR-1_10",171.382339310345,0.00961107897664082,27.7329428571429
"11","1-ACR-1_11",177.004584932921,0.0111271413828689,27.7524193548387
"12","1-ACR-1_12",183.630603629032,0.0128982038123168,27.7728823529412
"x1379","1-ACR-2_1",164.066400427807,-0.00512357524828107,28.0327755102041
"x1305","1-ACR-2_2",160.359877680459,-0.00444639081848385,27.9456346153846
"x1173","1-ACR-2_3",157.287268940493,-0.00339617803580069,27.8963571428571
"x1153","1-ACR-2_4",154.825477758985,-0.00242821705426362,27.8839411764706
"x1136","1-ACR-2_5",153.343440697674,-0.000745590456055489,27.8960447761194
"x1574","1-ACR-2_6",151.280080667634,0.000780499675535333,27.9010779220779
"x1142","1-ACR-2_7",152.392332660099,0.00397472906403945,27.91425
"x118","1-ACR-2_8",154.835567869565,0.00566213043478203,27.9438965517241
"x1170","1-ACR-2_9",158.185277218045,0.00687541353383469,27.9506071428571
"x1195","1-ACR-2_10",161.632161518111,0.00727356532356546,27.9807647058824
"x165","1-ACR-2_11",165.969371538462,0.0078007692307692,27.9880666666667
"x124","1-ACR-2_12",170.377502016129,0.00796975806451614,28.0018235294118
"x1221","1-POC-1_1",180.86017303568,-0.00742469005753178,27.92062
"x1416","1-POC-1_2",175.313478769954,-0.00631038813710386,27.816358490566
"x1637","1-POC-1_3",170.778137121212,-0.00528863636363646,27.7440877192982
"x1144","1-POC-1_4",166.779134117647,-0.00427529411764698,27.7173137254902
"x1169","1-POC-1_5",163.978514408602,-0.00158322580645156,27.7176
"x1794","1-POC-1_6",160.271159817299,0.00042332331174843,27.7126973684211
"x1176","1-POC-1_7",161.22387047619,0.00520459383753509,27.714125
"x1245","1-POC-1_8",164.235649019608,0.00762549019607817,27.7350322580645
"x1106","1-POC-1_9",168.341152907962,0.00873867871259186,27.7265172413793
"x1227","1-POC-1_10",172.822702280702,0.00897140350877239,27.7479714285714
"x1188","1-POC-1_11",177.984048221344,0.0100466403162055,27.7536451612903
"36","1-POC-1_12",183.546097171347,0.0105180097680096,27.7740882352941
"x138","1-POC-2_1",168.910134632653,-0.00760238775510193,28.03794
"x1308","1-POC-2_2",163.377885465587,-0.00546198380566796,27.9387924528302
"x1377","1-POC-2_3",159.48074327551,-0.00381756122448983,27.8881578947368
"x1425","1-POC-2_4",156.72535184803,-0.00191479362101313,27.8799411764706
"x179","1-POC-2_5",155.881064006969,0.00186526132404181,27.8900153846154
"x1940","1-POC-2_6",154.795307727273,0.00506716450216457,27.8943815789474
"x1146","1-POC-2_7",160.492560483512,0.00991233288770046,27.892725
"x191","1-POC-2_8",166.824038358974,0.0137517264957264,27.9090322580645
"45","1-POC-2_9",174.523250902256,0.015812255639098,27.9015862068966
"x127","1-POC-2_10",183.037974285714,0.0177019047619047,27.9357142857143
"47","1-POC-2_11",193.084323529412,0.02028431372549,27.9413870967742
"x123","1-POC-2_12",204.465216025213,0.0214850500556174,27.9624705882353
"x1750","1-POR-1_1",179.713368245614,-0.00413491228070175,27.96408
"x1163","1-POR-1_2",176.611601076495,-0.00298197459835006,27.8834150943396
"x1130","1-POR-1_3",174.493239880665,-0.00161449766166768,27.8341964285714
"x1254","1-POR-1_4",173.324567089381,-0.000191993888464349,27.8199411764706
"x1133","1-POR-1_5",173.55827274397,0.00235130054290572,27.8294696969697
"x11091","1-POR-1_6",173.682883951258,0.00463017889551457,27.8340519480519
"x1271","1-POR-1_7",178.548090968801,0.00792627257799692,27.842725
"x155","1-POR-1_8",183.3130775,0.00921892857142882,27.8634666666667
"x121","1-POR-1_9",188.482275681726,0.010166117216117,27.8565517241379
"x141","1-POR-1_10",193.749686842105,0.0103921052631578,27.8771764705882
"x1171","1-POR-1_11",199.80525042029,0.0111059565217388,27.8748064516129
"x189","1-POR-1_12",205.832469404762,0.0106996428571431,27.9036764705882
"x128","1-POR-2_1",174.183111368859,-0.00628950651055908,28.184
"62","1-POR-2_2",169.591374321537,-0.00448602366478512,28.0794615384615
"x1315","1-POR-2_3",166.58262214795,-0.00148622994652412,28.020875
"x1479","1-POR-2_4",165.67042372549,0.00072417366946791,27.9909215686275
"x1198","1-POR-2_5",166.642878422835,0.00376486050636997,28.0000895522388
"x1922","1-POR-2_6",168.064887529412,0.00517062184873946,28.0055384615385
"x1472","1-POR-2_7",174.087395964912,0.00797245614035103,28.0134
"x1193","1-POR-2_8",179.129339473684,0.0100289473684214,28.071
"x1205","1-POR-2_9",184.673006470588,0.0123905882352939,28.0853448275862
"x140","1-POR-2_10",190.443671929825,0.011345614035088,28.1605
"71","1-POR-2_11",197.23204486166,0.0127871541501974,28.1944516129032
"x195","1-POR-2_12",204.492512554113,0.0120935064935064,28.2425588235294
