"","Sample.ID",".variable",".value",".lower",".upper",".width",".point",".interval","varnames"
"47","2-ACR-2","b_AQY_Intercept",0.010687180678702,0.00791227394595328,0.0158377560492,0.95,"median","qi","Am"
"48","2-ACR-2","b_Rd_Intercept",1.64958435720075,1.47262361951795,1.84806804639394,0.95,"median","qi","Theta"
"49","2-ACR-2","b_theta_Intercept",0.0757922232844265,-1.51155379676594,0.724052419099486,0.95,"median","qi","Rd"
"50","2-ACR-2","sigma",0.135164262228594,0.0814365041896154,0.242788365025991,0.95,"median","qi","Sigma"
"51","2-ACR-3","b_Am_Intercept",3.19964344459816,2.71965817050898,3.9346525244447,0.95,"median","qi","AQY"
"52","2-ACR-3","b_AQY_Intercept",0.0141806310582358,0.00880079608281958,0.030601636748112,0.95,"median","qi","Am"
"53","2-ACR-3","b_Rd_Intercept",1.10216167152301,0.880323276338428,1.37573998048955,0.95,"median","qi","Theta"
"54","2-ACR-3","b_theta_Intercept",0.42584567659533,-1.41806718472766,0.878289633072808,0.95,"median","qi","Rd"
"55","2-ACR-3","sigma",0.127505345442195,0.0779828440930764,0.25359139320314,0.95,"median","qi","Sigma"
"56","2-POC-1","b_Am_Intercept",1.05202320476877,0.948362058685072,1.22224090465445,0.95,"median","qi","AQY"
"57","2-POC-1","b_AQY_Intercept",0.00266875059210759,0.00215639623185866,0.00358332085910179,0.95,"median","qi","Am"
"58","2-POC-1","b_Rd_Intercept",0.379214012051997,0.359763767626619,0.403829116148843,0.95,"median","qi","Theta"
"59","2-POC-1","b_theta_Intercept",0.0729147814202507,-0.897072994262062,0.494611033260822,0.95,"median","qi","Rd"
"60","2-POC-1","sigma",0.0121427141911204,0.00760654639453099,0.02309376580223,0.95,"median","qi","Sigma"
"61","2-POC-2","b_Am_Intercept",1.0385003897142,0.89760002569829,1.23228976045577,0.95,"median","qi","AQY"
"62","2-POC-2","b_AQY_Intercept",0.00329476585823098,0.00235919342472934,0.00467795053363488,0.95,"median","qi","Am"
"63","2-POC-2","b_Rd_Intercept",0.358796518190432,0.32909928113922,0.389457855413472,0.95,"median","qi","Theta"
"64","2-POC-2","b_theta_Intercept",-0.697270623475449,-2.15627467632062,0.195830676954682,0.95,"median","qi","Rd"
"65","2-POC-2","sigma",0.0176509259415182,0.0116410153961255,0.0336223446946917,0.95,"median","qi","Sigma"
"66","2-POC-3","b_Am_Intercept",5.31858060560708,4.85743833169078,6.15400746407772,0.95,"median","qi","AQY"
"67","2-POC-3","b_AQY_Intercept",0.0189098202022582,0.0147350625916077,0.0277380402506305,0.95,"median","qi","Am"
"68","2-POC-3","b_Rd_Intercept",2.78012629139179,2.54617508243836,3.04624254306193,0.95,"median","qi","Theta"
"69","2-POC-3","b_theta_Intercept",0.737989947907301,0.103468518032561,0.90839549385917,0.95,"median","qi","Rd"
"70","2-POC-3","sigma",0.14833447697159,0.0886656774458183,0.295474995293481,0.95,"median","qi","Sigma"
"71","2-POR-1","b_Am_Intercept",7.36621688293749,6.25484638894573,8.75196836741423,0.95,"median","qi","AQY"
"72","2-POR-1","b_AQY_Intercept",0.0339238887717382,0.0196080512662097,0.0555793508380773,0.95,"median","qi","Am"
"73","2-POR-1","b_Rd_Intercept",2.68309923824918,2.20950894987706,3.08542542024754,0.95,"median","qi","Theta"
"74","2-POR-1","b_theta_Intercept",-0.862196360096452,-2.47388987696933,0.255614680844133,0.95,"median","qi","Rd"
"75","2-POR-1","sigma",0.242656423951602,0.153834766008176,0.451802825235168,0.95,"median","qi","Sigma"
"76","2-POR-2","b_Am_Intercept",3.39666905543689,3.0956658459534,3.90873294616473,0.95,"median","qi","AQY"
"77","2-POR-2","b_AQY_Intercept",0.0102367018820359,0.00831983965537656,0.0142953511723811,0.95,"median","qi","Am"
"78","2-POR-2","b_Rd_Intercept",0.929329919334457,0.844296440812885,1.04308807669179,0.95,"median","qi","Theta"
"79","2-POR-2","b_theta_Intercept",0.443778533699918,-0.307524698725445,0.719281950128898,0.95,"median","qi","Rd"
"80","2-POR-2","sigma",0.0588470161670679,0.0361100339554042,0.114308204362428,0.95,"median","qi","Sigma"
