Measurement Name :,20191029-RUN1_31,,Generated On :,"29/10/2019, 18:01:04",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"29/10/2019, 17:03:56",,,,,,Batch No.:  ,PSt5-1624-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"29/10/2019, 18:00:20",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
29.10.19 17:03:58,"0,03",176.44,191.54,173.19,190.71,187.94,188.77,186.56,184.35,181.89,186,179.43,192.38,186.28,182.16,184.35,190.43,184.08,186.28,189.6,181.89,187.66,183.8,187.94,185.18,,31,965,34,29.35,
29.10.19 17:04:13,"0,28",177.79,192.1,173.46,190.99,188.77,190.43,188.21,184.9,182.71,187.11,180.25,193.49,186.83,182.98,184.35,191.82,185.18,187.38,189.88,182.71,189.04,184.08,188.77,185.73,,31,965,34,29.33,
29.10.19 17:04:28,"0,53",177.52,192.38,173.73,190.99,189.6,190.43,188.21,184.9,182.71,187.11,179.7,194.05,187.11,182.98,184.08,191.82,185.73,187.66,190.71,182.71,189.04,184.35,188.77,186.56,,31,965,34,29.35,
29.10.19 17:04:43,"0,78",179.16,192.66,173.46,191.82,190.43,191.26,188.49,186,183.53,187.38,181.07,195.17,187.94,183.8,185.73,192.38,186.28,188.77,190.71,183.26,189.88,184.9,189.32,186.56,,31,965,34,29.36,
29.10.19 17:04:59,"1,05",179.7,193.49,174,193.21,190.15,191.26,188.77,186.83,183.53,188.21,181.07,195.45,188.49,183.53,185.45,193.21,186.56,189.32,190.71,183.26,190.15,185.18,189.6,186.83,,31,965,34,29.36,
29.10.19 17:05:14,"1,3",179.97,194.05,174.27,192.66,190.71,191.82,189.88,186.83,183.53,188.77,181.61,195.17,189.04,183.53,186,194.05,187.11,189.32,192.1,183.8,189.88,185.18,189.88,187.66,,31,965,34,29.36,
29.10.19 17:05:29,"1,55",180.25,194.89,174,193.21,191.26,192.66,190.15,187.66,183.53,188.49,181.89,196.57,189.32,184.35,186.28,193.77,187.66,189.6,192.38,184.35,190.43,185.73,190.71,188.21,,31,965,34,29.38,
29.10.19 17:05:44,"1,8",180.79,194.89,174.81,193.21,191.54,192.66,190.43,187.66,183.8,189.04,181.89,196.29,189.6,184.08,186.83,193.77,187.94,190.43,192.66,184.35,191.26,185.73,190.43,187.66,,31,965,34,29.38,
29.10.19 17:06:00,"2,07",181.07,195.17,174.81,193.77,192.1,193.21,190.99,187.38,184.9,188.77,181.89,196.85,189.88,184.9,187.38,194.89,188.49,191.26,192.38,184.9,191.26,186,190.43,188.21,,31,965,34,29.39,
29.10.19 17:06:15,"2,32",181.34,195.17,174.54,194.05,192.38,193.49,191.26,188.49,183.8,188.77,182.43,197.41,189.88,184.9,187.38,194.89,187.94,191.26,192.66,184.63,190.99,186.83,190.71,188.49,,31,965,34,29.4,
29.10.19 17:06:30,"2,57",181.07,195.45,174.54,193.77,192.1,193.21,191.54,188.77,184.9,189.04,181.89,196.85,190.15,184.9,187.94,195.17,187.94,191.26,192.1,184.9,191.54,186,190.71,188.49,,31,965,34,29.41,
29.10.19 17:06:45,"2,82",181.61,195.45,175.08,194.61,192.66,193.77,191.26,189.32,184.9,189.04,182.16,197.69,190.43,185.45,188.21,195.17,188.77,191.82,192.94,185.18,191.26,186.28,190.99,188.49,,31,965,34,29.41,
29.10.19 17:07:01,"3,08",181.61,196.01,174.81,194.61,192.38,194.33,191.54,188.77,184.9,189.04,181.61,197.98,190.43,185.45,187.94,196.01,189.04,192.1,193.21,185.18,192.1,186.28,191.54,189.6,,31,965,34,29.41,
29.10.19 17:07:16,"3,33",182.16,196.57,174.54,194.89,191.82,194.33,191.82,189.6,185.18,188.77,180.79,198.26,190.99,185.45,187.66,195.73,189.32,192.1,193.49,185.18,192.1,186.56,192.1,189.04,,31,965,34,29.43,
29.10.19 17:07:31,"3,58",181.89,196.85,174.54,194.89,191.82,194.89,192.38,189.6,184.9,189.32,180.52,198.54,190.99,185.73,187.94,196.29,189.32,192.94,193.49,185.45,192.1,186.83,191.54,189.32,,31,965,34,29.44,
29.10.19 17:07:46,"3,83",182.16,196.57,174.54,195.17,191.82,194.61,192.38,189.88,184.9,189.32,179.7,198.26,190.99,185.18,188.77,196.29,189.32,193.21,193.77,185.18,192.38,187.38,191.82,189.32,,31,965,34,29.44,
29.10.19 17:08:01,"4,08",182.16,196.01,174.54,194.61,191.54,194.05,192.38,190.15,184.63,189.04,179.16,198.54,190.99,184.63,187.94,195.73,189.6,192.66,193.49,184.63,191.26,186.83,191.54,189.32,,31,965,34,29.46,
29.10.19 17:08:17,"4,35",181.89,196.57,174.27,195.17,191.82,194.33,192.94,189.6,185.18,189.04,179.7,198.82,190.99,185.18,188.49,196.29,189.88,192.66,193.49,185.45,191.82,186.83,191.26,188.77,,31,965,34,29.47,
29.10.19 17:08:32,"4,6",182.43,196.85,174,195.45,191.26,194.61,192.94,190.43,183.8,189.6,180.25,199.1,191.54,184.9,188.77,196.57,189.6,192.66,193.77,185.73,192.1,186.56,191.82,189.32,,31,965,34,29.49,
29.10.19 17:08:47,"4,85",182.71,196.85,173.73,195.73,191.82,195.45,193.21,189.88,185.45,189.04,180.52,199.38,190.99,184.9,187.94,197.41,189.04,193.49,194.05,186,192.38,187.38,191.82,189.6,,31,965,34,29.49,
29.10.19 17:09:02,"5,1",182.43,196.85,174,195.17,191.54,194.89,193.21,189.88,184.9,188.77,179.7,199.67,190.71,184.9,188.21,197.13,189.88,193.21,193.77,185.45,191.82,186.56,192.1,189.32,,31,965,34,29.51,
29.10.19 17:09:18,"5,37",182.71,197.13,173.73,196.01,191.26,194.89,193.21,190.43,184.9,189.32,180.52,199.95,191.26,184.63,189.04,197.69,189.88,193.49,194.33,186,191.82,186.83,192.66,189.88,,31,965,34,29.51,
29.10.19 17:09:33,"5,62",182.98,197.41,173.19,196.29,192.38,195.45,193.77,190.71,184.63,189.32,180.79,199.67,190.99,184.63,189.04,197.69,190.15,193.77,194.05,185.73,191.54,187.11,192.38,190.43,,31,965,34,29.53,
29.10.19 17:09:48,"5,87",182.71,197.13,173.73,196.29,192.66,195.45,193.21,190.99,184.35,188.21,180.52,199.95,191.26,184.63,189.04,197.98,190.15,193.77,194.89,186,191.54,187.66,192.66,189.88,,31,965,34,29.54,
29.10.19 17:10:03,"6,12",182.98,197.98,172.92,195.73,192.1,195.73,193.77,190.71,184.9,188.77,180.52,199.67,191.54,184.63,188.49,197.69,189.88,194.33,194.33,185.18,192.1,186.83,192.38,190.15,,31,965,34,29.54,
