Measurement Name :,20191029-RUN1_31,,Generated On :,"29/10/2019, 18:01:04",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
29.10.19 17:10:19,"6,38",182.43,198.26,173.46,196.29,191.82,195.17,193.77,190.15,184.35,188.21,180.79,199.67,191.26,184.35,187.94,197.98,190.15,194.05,194.05,186.28,192.1,186.56,192.66,189.88,,31,965,34,29.55,
29.10.19 17:10:34,"6,63",182.71,198.26,172.92,196.29,192.1,195.45,194.33,191.26,184.08,189.04,180.79,200.79,191.26,184.63,188.77,198.26,190.71,194.61,194.61,186.83,192.66,187.11,192.94,190.15,,31,965,34,29.57,
29.10.19 17:10:49,"6,88",182.43,197.41,172.38,195.73,191.26,194.89,192.94,190.15,184.08,188.21,180.25,199.67,190.71,184.35,188.21,197.98,189.6,193.77,194.05,185.45,191.54,186.28,191.82,189.88,,31,965,34,29.58,
29.10.19 17:11:04,"7,13",182.43,197.41,172.92,196.57,192.94,194.89,193.77,191.82,184.35,188.21,180.52,200.79,190.71,185.18,188.49,198.82,190.71,194.61,195.17,186.56,191.54,186,192.38,189.88,,31,965,34,29.58,
29.10.19 17:11:20,"7,4",182.43,198.26,172.65,196.57,191.82,195.17,193.77,191.54,184.35,188.77,180.25,200.23,190.99,184.9,188.21,198.54,190.15,194.33,194.89,186.28,191.54,186.28,192.94,190.15,,31,965,34,29.61,
29.10.19 17:11:35,"7,65",182.16,197.98,172.65,196.57,192.1,195.45,194.33,191.26,184.08,188.49,180.25,200.23,190.99,185.18,188.21,199.1,190.71,194.89,194.89,186.28,191.82,186.28,192.38,190.43,,31,965,34,29.61,
29.10.19 17:11:50,"7,9",182.43,198.54,172.38,196.85,192.66,196.29,194.05,191.82,183.8,189.04,180.25,201.08,190.99,184.35,188.21,199.67,190.71,195.17,195.73,187.11,192.38,186.28,192.66,190.43,,31,965,34,29.61,
29.10.19 17:12:05,"8,15",181.89,197.13,171.85,196.57,191.54,195.45,194.05,191.54,183.53,187.94,179.16,200.23,190.43,183.8,186.83,198.26,190.15,194.33,194.89,186.28,191.26,185.73,192.66,189.88,,31,965,34,29.63,
29.10.19 17:12:21,"8,42",182.71,197.98,172.12,196.29,192.1,196.29,194.33,192.1,183.53,188.49,179.43,200.79,190.99,184.08,187.66,199.1,190.71,194.89,195.45,186.83,192.1,186.28,192.94,190.43,,31,965,34,29.64,
29.10.19 17:12:36,"8,67",182.16,198.54,172.38,196.85,191.82,195.17,194.05,191.26,183.8,188.77,178.88,200.51,190.99,184.35,187.38,199.38,190.71,194.61,195.17,186.28,192.38,186.28,193.21,190.71,,31,965,34,29.65,
29.10.19 17:12:51,"8,92",181.61,198.54,171.58,196.85,191.82,195.73,194.61,190.99,182.98,188.21,178.61,201.36,191.26,184.08,187.11,199.38,190.71,195.17,195.45,186.56,192.1,186.56,192.66,189.88,,31,965,34,29.65,
29.10.19 17:13:06,"9,17",181.61,197.98,172.12,196.57,192.1,195.45,194.61,191.82,182.71,188.49,177.79,200.51,191.26,183.8,187.66,199.38,190.99,194.33,194.89,187.11,192.1,186.28,192.66,190.43,,31,965,34,29.66,
29.10.19 17:13:22,"9,43",181.89,198.26,171.85,196.85,191.82,196.01,194.89,192.1,182.71,188.21,177.79,201.64,190.99,184.35,188.21,199.67,190.15,194.61,195.45,187.11,191.82,186,192.94,190.99,,31,965,34,29.68,
29.10.19 17:13:37,"9,68",181.61,197.98,171.04,197.69,191.82,196.01,194.61,191.82,182.43,188.21,177.25,200.79,190.43,184.08,187.66,199.67,190.15,194.89,194.61,186.83,192.1,186.56,193.49,189.88,,31,965,34,29.69,
29.10.19 17:13:52,"9,93",181.61,198.26,170.5,197.13,190.99,195.73,194.33,191.82,182.43,187.94,176.71,200.79,190.99,183.53,187.11,199.38,190.71,194.89,195.45,187.11,191.82,186.28,192.66,190.71,,31,965,34,29.71,
29.10.19 17:14:08,"10,2",180.79,197.98,169.43,196.57,191.26,195.17,194.33,191.82,181.89,187.66,175.9,200.79,190.43,183.53,186.56,199.1,190.15,194.33,195.17,187.11,192.38,186.28,192.66,190.15,,31,965,34,29.72,
29.10.19 17:14:23,"10,45",181.34,197.98,169.7,197.69,190.99,195.45,194.33,192.1,182.16,187.66,176.17,201.93,190.43,183.8,187.66,200.23,190.71,195.17,196.01,187.38,191.82,186,192.94,190.43,,31,965,34,29.72,
29.10.19 17:14:38,"10,7",181.07,197.69,168.63,197.13,191.54,195.45,194.33,191.82,181.07,187.11,175.35,200.79,190.43,184.08,186.56,199.67,190.71,194.33,194.89,187.11,191.82,186.56,192.66,190.43,,31,965,34,29.74,
29.10.19 17:14:53,"10,95",180.79,197.98,168.09,196.57,190.71,195.17,194.61,190.99,180.79,187.38,174.81,200.23,190.15,183.26,186.56,199.38,190.43,194.33,195.17,187.11,191.82,185.73,192.66,190.71,,31,965,34,29.75,
29.10.19 17:15:09,"11,22",180.79,197.69,167.56,196.85,191.26,195.45,193.77,191.82,180.52,187.94,175.35,201.08,190.43,183.53,186.83,199.95,190.43,194.89,196.01,187.11,191.54,186.56,192.66,190.71,,31,965,34,29.76,
29.10.19 17:15:24,"11,47",179.43,197.13,167.29,196.85,190.71,194.61,193.77,191.82,179.7,187.38,174.54,201.36,190.15,183.53,186.83,200.79,190.15,194.61,195.73,187.66,191.54,186.83,192.66,190.99,,31,965,34,29.76,
29.10.19 17:15:39,"11,72",179.16,197.69,166.76,197.13,190.43,195.17,193.77,191.82,179.7,186.83,174.27,201.36,190.43,183.26,186.83,200.51,190.43,194.33,195.73,187.38,191.26,187.11,192.66,190.43,,31,965,34,29.79,
29.10.19 17:15:54,"11,97",179.43,197.13,166.49,197.69,190.99,194.89,194.33,192.1,179.16,187.66,174.54,201.08,190.15,183.26,186.56,200.23,189.88,194.05,195.73,187.38,191.82,186.56,193.21,190.43,,31,965,34,29.79,
29.10.19 17:16:09,"12,22",179.16,197.13,166.22,198.26,190.99,194.61,194.61,191.82,178.88,187.38,174,201.36,190.43,182.98,185.73,199.95,190.15,194.33,195.45,187.66,191.54,186.56,192.66,190.99,,31,965,34,29.8,
29.10.19 17:16:25,"12,48",179.43,197.69,167.02,197.98,190.99,195.45,194.89,191.82,179.16,187.38,174.27,201.36,190.43,182.98,186.28,200.23,190.71,194.33,196.01,188.21,191.54,186.83,192.94,191.26,,31,965,34,29.82,
29.10.19 17:16:40,"12,73",178.88,197.13,166.22,197.13,190.43,194.61,194.33,191.82,178.07,186.83,174,201.36,189.32,182.43,186,200.79,190.15,194.05,195.73,187.66,192.1,187.11,192.94,190.71,,31,965,34,29.82,
29.10.19 17:16:55,"12,98",178.34,197.41,165.43,196.85,189.6,194.89,194.05,191.26,178.34,186.83,173.46,201.36,189.88,181.61,185.73,200.51,190.15,193.77,195.73,187.66,191.26,187.11,192.66,190.71,,31,965,34,29.83,
29.10.19 17:17:10,"13,23",178.88,197.13,165.69,197.69,190.15,194.61,194.05,191.26,177.79,187.11,172.65,201.64,189.32,182.43,185.45,200.79,190.15,193.49,195.73,187.11,191.26,186.83,192.38,190.99,,31,965,34,29.83,
29.10.19 17:17:26,"13,5",178.88,196.57,165.69,198.26,190.15,194.89,193.77,191.82,177.79,186.56,173.46,201.93,189.04,182.16,186,200.23,189.88,193.77,196.01,187.94,191.82,187.11,192.1,191.26,,31,965,34,29.85,
29.10.19 17:17:41,"13,75",178.61,196.85,165.43,197.69,189.6,194.61,194.05,191.26,177.25,186.28,172.92,201.08,189.32,181.89,186,200.79,189.88,192.94,195.45,188.21,191.54,187.11,192.1,190.99,,31,965,34,29.86,
29.10.19 17:17:56,"14,0",178.34,197.13,165.43,197.69,190.43,194.89,194.33,191.54,176.71,186.56,172.92,201.64,189.32,181.07,185.18,200.51,190.15,193.21,196.01,188.21,191.54,187.38,192.38,190.71,,31,965,34,29.86,
29.10.19 17:18:11,"14,25",177.79,197.41,165.16,197.98,189.04,195.17,193.77,191.54,176.17,186.28,172.65,201.64,189.32,181.61,185.45,200.23,189.32,192.66,195.45,188.21,191.54,187.11,192.1,190.71,,31,965,34,29.88,
29.10.19 17:18:27,"14,52",178.07,196.57,164.63,197.98,189.88,194.61,194.61,191.26,175.62,186.28,172.38,201.93,189.04,181.34,185.18,201.08,189.88,193.21,195.73,188.49,192.1,187.38,192.94,191.26,,31,965,34,29.89,
29.10.19 17:18:42,"14,77",177.52,196.57,164.36,197.69,189.6,194.61,194.05,191.26,174.81,186.83,171.85,201.08,189.04,180.52,184.9,200.79,189.32,192.94,196.29,188.21,191.26,186.56,192.66,190.71,,31,965,34,29.9,
29.10.19 17:18:57,"15,02",176.98,196.29,163.83,197.41,189.32,194.61,194.05,191.26,174.27,186,171.85,201.93,188.49,180.25,184.63,200.79,189.04,191.82,195.73,188.49,191.82,186.83,192.38,190.99,,31,965,34,29.91,
29.10.19 17:19:12,"15,27",177.25,196.01,163.83,198.26,189.32,194.61,194.05,189.88,172.65,186.28,170.77,201.64,188.77,179.7,184.63,201.36,189.04,191.82,196.29,188.21,191.82,186.56,192.38,190.99,,31,965,34,29.93,
29.10.19 17:19:28,"15,53",176.71,196.85,163.04,197.69,188.49,194.61,193.49,190.99,172.38,185.73,171.04,201.64,188.77,179.7,184.35,200.79,189.04,192.38,196.57,188.49,191.54,186.83,192.1,190.43,,31,965,34,29.94,
29.10.19 17:19:43,"15,78",176.98,196.57,163.57,198.26,188.77,194.61,194.05,190.99,172.12,185.73,170.23,201.93,188.77,179.16,184.63,201.08,189.04,192.1,196.01,188.21,191.26,186.56,191.82,190.71,,31,965,34,29.96,
29.10.19 17:19:58,"16,03",176.98,196.29,162.77,198.82,189.32,194.89,194.33,190.43,171.85,184.9,169.7,202.21,188.49,178.61,184.08,201.64,187.94,191.82,195.73,188.21,191.54,186.56,191.54,191.26,,31,965,34,29.97,
29.10.19 17:20:13,"16,28",176.44,196.29,162.24,197.98,188.49,194.33,192.94,189.6,170.77,185.18,168.89,201.64,187.94,177.79,184.35,201.08,188.49,190.71,195.73,187.94,191.82,186,192.1,191.54,,31,965,34,29.97,
29.10.19 17:20:28,"16,53",177.25,196.01,162.51,198.82,188.77,194.05,194.33,190.43,171.04,186,169.43,201.93,189.04,178.07,184.08,201.64,187.94,191.54,196.29,188.49,192.38,186.56,192.38,191.82,,31,965,34,29.99,
29.10.19 17:20:44,"16,8",176.71,196.29,161.45,197.69,188.77,193.77,193.21,189.6,169.97,184.35,168.36,201.36,187.66,177.52,183.8,201.64,187.94,190.99,195.73,188.21,190.99,185.18,192.1,191.26,,31,965,34,30,
29.10.19 17:20:59,"17,05",176.17,195.73,160.92,198.26,188.21,193.77,193.77,189.32,169.43,184.35,168.09,201.36,187.66,176.71,183.53,201.36,187.94,190.71,195.73,188.21,191.54,185.45,191.54,190.99,,31,965,34,30.01,
29.10.19 17:21:14,"17,3",176.44,196.57,161.18,198.82,187.94,193.77,193.49,188.77,169.43,185.45,167.83,201.93,187.94,176.44,183.53,201.08,187.94,190.99,196.57,188.77,191.82,185.73,192.1,191.26,,31,965,34,30.04,
29.10.19 17:21:29,"17,55",176.44,196.57,160.92,199.1,188.49,194.05,193.21,188.21,168.63,185.18,167.56,201.93,187.94,176.71,183.53,201.93,187.38,190.43,196.57,189.32,191.82,185.73,191.82,191.54,,31,965,34,30.04,
29.10.19 17:21:45,"17,82",175.9,196.01,160.39,198.26,187.38,193.77,193.21,187.11,168.36,185.18,166.49,202.21,187.94,175.9,182.71,201.64,187.66,190.15,196.01,189.04,191.26,185.45,191.54,191.54,,31,965,34,30.05,
29.10.19 17:22:00,"18,07",175.08,195.45,160.13,198.54,187.94,193.21,193.21,187.66,168.36,185.18,165.43,201.93,187.66,175.62,182.16,201.93,187.11,189.88,196.01,189.32,192.38,185.18,191.82,191.54,,31,965,34,30.08,
29.10.19 17:22:15,"18,32",175.35,195.73,160.13,198.54,187.11,193.77,192.94,186.56,167.83,184.63,164.63,201.93,187.66,175.08,183.26,201.93,187.66,189.6,196.29,189.32,192.1,184.9,191.54,191.54,,31,965,34,30.08,
29.10.19 17:22:30,"18,57",174.81,196.01,159.86,198.82,186.83,193.49,194.05,187.11,167.29,184.63,164.36,202.21,187.94,175.08,182.43,202.21,187.11,189.32,196.29,189.6,191.54,184.9,191.82,192.1,,31,965,34,30.1,
29.10.19 17:22:46,"18,83",174.54,195.17,159.34,198.82,186,192.94,193.49,186.83,167.02,184.63,164.1,201.93,187.94,174.27,182.71,202.21,187.11,189.04,195.73,189.6,192.1,185.18,191.82,192.1,,31,965,34,30.11,
29.10.19 17:23:01,"19,08",174.27,194.89,159.07,197.98,186.56,192.66,193.49,186,166.22,184.08,163.57,201.93,186.83,173.46,181.61,202.21,187.11,188.77,195.45,189.32,191.82,184.63,191.54,191.54,,31,965,34,30.11,
29.10.19 17:23:16,"19,33",171.58,193.21,157.23,196.29,184.35,189.88,191.54,184.35,163.57,181.61,161.45,200.51,184.35,171.04,180.25,199.67,185.18,185.18,194.05,187.66,189.88,182.16,189.88,190.43,,31,965,34,30.14,
29.10.19 17:23:31,"19,58",174.27,195.45,159.34,198.82,186,192.38,192.94,185.73,165.43,183.8,163.04,202.49,186.83,173.19,181.61,201.64,186.83,186.56,196.29,188.77,192.1,184.9,191.26,192.38,,31,965,34,30.14,
29.10.19 17:23:47,"19,85",173.46,195.17,158.29,198.54,186,192.1,192.66,184.63,165.96,183.53,163.04,202.21,186.56,172.12,180.52,201.64,186.83,185.73,195.45,189.04,191.54,185.18,191.26,191.82,,31,965,34,30.15,
29.10.19 17:24:02,"20,1",173.46,195.45,158.81,198.26,185.45,191.54,192.38,184.35,165.16,183.26,162.51,202.21,186.28,171.31,181.34,201.93,186.28,185.18,196.01,188.77,191.82,184.63,190.71,191.82,,31,965,34,30.16,
29.10.19 17:24:17,"20,35",172.92,194.61,159.07,198.26,185.45,191.26,192.66,182.98,165.69,182.71,161.98,202.78,186.28,171.31,181.07,202.21,186.83,184.63,195.73,189.6,192.1,184.35,190.43,192.1,,31,965,34,30.18,
29.10.19 17:24:32,"20,6",172.92,194.61,158.81,198.54,185.45,190.71,192.38,182.98,165.96,183.53,162.24,202.49,186,171.58,180.79,202.49,186.83,184.9,195.73,189.6,191.82,183.8,190.99,192.1,,31,965,34,30.19,
29.10.19 17:24:48,"20,87",173.19,194.89,159.07,199.1,184.9,191.26,192.66,182.71,165.43,182.98,161.18,202.21,186.28,170.77,181.07,203.06,186.28,184.35,196.29,190.15,192.38,184.35,190.99,192.1,,31,965,34,30.21,
29.10.19 17:25:03,"21,12",172.38,194.33,158.81,199.38,184.9,190.43,192.66,183.26,165.16,182.71,160.92,201.93,186.28,170.77,180.25,201.93,185.73,183.8,196.01,190.43,191.82,183.8,190.15,192.1,,31,965,34,30.22,
29.10.19 17:25:18,"21,37",172.38,194.61,158.81,199.38,185.18,190.43,192.66,182.43,165.16,183.26,160.66,203.06,186.56,170.5,180.79,203.06,186.56,184.08,196.85,189.88,192.66,184.35,190.43,192.66,,31,965,34,30.22,
29.10.19 17:25:33,"21,62",171.85,194.89,158.55,197.98,184.63,188.21,192.38,182.43,163.83,182.43,159.86,202.21,186,169.7,180.25,202.49,186.28,182.16,196.01,190.15,191.82,184.35,190.15,192.1,,31,965,34,30.26,
29.10.19 17:25:49,"21,88",172.12,194.05,158.02,198.26,184.08,187.94,191.82,182.16,163.83,181.89,159.6,202.49,185.45,169.16,179.97,202.78,185.73,181.89,196.29,189.88,192.1,184.08,189.6,192.38,,31,965,34,30.26,
29.10.19 17:26:04,"22,13",171.85,194.33,158.29,199.38,184.63,187.66,192.66,182.16,164.63,182.71,159.34,202.21,186,168.63,179.97,202.21,185.73,181.89,196.29,190.15,192.38,183.8,190.71,192.94,,31,965,34,30.28,
29.10.19 17:26:19,"22,38",171.58,194.61,158.29,199.1,183.8,187.66,192.1,181.61,163.83,182.16,158.55,203.06,185.18,168.09,179.43,202.78,186,181.89,196.29,189.88,191.82,183.8,190.43,192.66,,31,965,34,30.29,
29.10.19 17:26:34,"22,63",171.58,194.61,158.02,199.38,184.35,187.66,192.1,181.34,163.3,182.16,158.81,202.49,185.18,167.83,179.7,203.06,185.18,181.34,196.57,190.71,191.82,183.8,190.43,192.94,,31,965,34,30.29,
29.10.19 17:26:50,"22,9",171.04,194.05,156.71,199.38,183.53,187.11,192.38,181.07,163.57,181.07,158.29,202.21,184.9,167.29,178.61,202.21,184.63,180.25,196.01,190.15,191.82,184.35,189.6,192.38,,31,965,34,30.32,
29.10.19 17:27:05,"23,15",171.31,194.05,156.97,199.1,184.08,187.11,192.1,181.34,163.3,182.16,158.29,203.34,184.9,167.83,179.43,203.34,185.18,179.7,196.29,190.99,192.38,184.08,189.88,193.49,,31,965,34,30.32,
29.10.19 17:27:20,"23,4",170.77,194.33,156.97,199.1,184.35,187.11,192.38,181.07,163.3,181.61,158.29,203.34,184.63,168.09,178.88,203.34,184.9,180.25,196.85,190.43,192.66,184.63,190.71,193.21,,31,965,34,30.33,
29.10.19 17:27:35,"23,65",170.23,194.33,156.19,198.26,183.8,186.56,191.54,181.07,162.24,181.34,157.76,202.49,184.63,167.29,177.79,202.78,184.35,179.16,196.01,190.43,191.82,183.26,189.6,192.66,,31,965,34,30.35,
29.10.19 17:27:50,"23,9",169.97,194.05,155.92,199.38,183.26,186.83,191.82,181.07,161.98,180.79,157.5,203.06,184.08,167.02,178.07,203.06,184.35,178.88,196.85,190.71,191.82,183.8,189.88,192.66,,31,965,34,30.36,
29.10.19 17:28:06,"24,17",170.23,193.49,155.66,199.1,182.98,186,192.1,180.79,161.45,181.07,156.97,202.49,183.53,166.49,176.44,203.06,184.08,178.61,196.57,190.99,191.82,183.26,189.88,192.94,,31,965,34,30.38,
29.10.19 17:28:21,"24,42",169.7,192.94,155.66,199.1,182.71,186.28,192.1,181.34,161.45,181.61,155.66,203.06,184.35,166.76,176.98,203.06,184.63,178.61,196.29,191.26,192.38,184.08,189.88,192.94,,31,965,34,30.39,
29.10.19 17:28:36,"24,67",169.7,193.49,155.14,199.1,182.98,186.28,192.1,180.52,160.39,181.07,155.92,202.78,183.26,166.49,176.44,203.34,184.35,178.07,196.29,190.71,192.38,183.53,189.6,192.66,,31,965,34,30.4,
29.10.19 17:28:51,"24,92",168.89,193.49,155.4,198.54,182.71,185.73,192.1,180.25,160.66,180.52,155.14,202.78,183.26,165.69,175.9,203.63,184.35,177.52,196.29,190.99,191.54,183.53,189.04,192.94,,31,965,34,30.4,
29.10.19 17:29:07,"25,18",168.63,193.77,154.88,199.67,181.89,185.73,192.1,181.07,160.39,180.25,154.62,202.78,183.53,165.43,175.9,203.34,183.53,177.25,196.57,190.71,191.82,183.8,189.88,193.21,,31,965,34,30.41,
